title,GEOLOCATION
date,2017-09-05
rev,0
company,DFM-ENGINEERING
posX,posY,reference,value,footprint,datasheet
12250,5450,AE1,1575AT43A0040E,my_lib:1575AT43A0040E-ANTENNA,
12300,1200,AE2,M620720,my_lib:M620720-ANTENNA,
6800,1450,BT1,1.25-2AW,Connectors_Hirose:Hirose_DF13-02P-1.25DS_02x1.25mm_Angled,
15450,5250,BT2,BAT-HLD-001,my_lib:BAT-HLD-001,
6000,5400,C1,104,Capacitors_SMD:C_0603,
10050,1350,C10,10uF,Capacitors_SMD:C_0603,
10100,6850,C11,22pF,Capacitors_SMD:C_0603,
10400,6850,C12,22pF,Capacitors_SMD:C_0603,
11350,5850,C13,NM,Capacitors_SMD:C_0603,
11950,5850,C14,NM,Capacitors_SMD:C_0603,
12200,1550,C15,6.8pF,Capacitors_SMD:C_0603,
12450,5850,C16,1nF,Capacitors_SMD:C_0603,
12600,1600,C17,82pF,Capacitors_SMD:C_0603,
15000,2300,C18,104,Capacitors_SMD:C_0603,
15000,5200,C19,4.7uF,Capacitors_SMD:C_0603,
6150,5400,C2,104,Capacitors_SMD:C_0603,
15150,4650,C20,104,Capacitors_SMD:C_0603,
15200,5200,C21,104,Capacitors_SMD:C_0603,
6750,3950,C22,104,Capacitors_SMD:C_0603,
12000,7500,C23,1uF,Capacitors_SMD:C_0603,
12250,7500,C24,0.1uF,Capacitors_SMD:C_0603,
12500,7500,C25,0.1uF,Capacitors_SMD:C_0603,
14600,7950,C26,0.1uF,Capacitors_SMD:C_0603,
6300,5400,C3,104,Capacitors_SMD:C_0603,
6450,5400,C4,104,Capacitors_SMD:C_0603,
6600,5400,C5,104,Capacitors_SMD:C_0603,
6750,5400,C6,104,Capacitors_SMD:C_0603,
6900,5400,C7,1uF,Capacitors_SMD:C_0603,
7050,5400,C8,10uF,Capacitors_SMD:C_0603,
7600,1350,C9,10uF,Capacitors_SMD:C_0603,
11300,1850,D1,LED,LEDs:LED_0603,
11600,1850,D2,LED,LEDs:LED_0603,
9500,1150,L1,2.2uH,Resistors_SMD:R_0805,
12250,4850,L2,56pF,Resistors_SMD:R_0603,
8950,6550,P1,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
14500,1800,Q1,DMG1012T-7,my_lib:SOT-523,
14650,4150,Q2,DMG1012T-7,my_lib:SOT-523,
6100,3500,R1,440K,Resistors_SMD:R_0603,
13050,1400,R10,0R,Resistors_SMD:R_0603,
14200,2000,R11,1M,Resistors_SMD:R_0603,
14350,4350,R12,1M,Resistors_SMD:R_0603,
6100,3900,R2,1M,Resistors_SMD:R_0603,
8050,6350,R3,10k,Resistors_SMD:R_0603,
11300,1450,R5,1k,Resistors_SMD:R_0603,
11600,1450,R6,1k,Resistors_SMD:R_0603,
11650,5650,R7,0R,Resistors_SMD:R_0603,
14450,7100,R8,1K,Resistors_SMD:R_0603,
14700,7100,R9,1K,Resistors_SMD:R_0603,
8050,6750,SW1,SW_2P,my_lib:SW,
8500,1550,U1,TPS62740,my_lib:WSON-12_3x2,
8950,4300,U2,EFM32ZG210,my_lib:QFN-32-1EP_6x6mm_Pitch0.65mm,
11550,4950,U3,BGA825L6S,my_lib:TSLP-6-3,
13050,2450,U4,SX1276-868,my_lib:RL-SX1276-868,
13700,5300,U5,L70,my_lib:L70_GPS,
13800,7550,U6,MMA8652,Footprint_lib:DFN-10_2x2mm_Pitch0.4mm,
10250,6600,Y1,ECS-.327-12.5-34B-TR,my_lib:Crystal_SMD_32768,
